Rank,Release Group,Worldwide,Domestic,%,Foreign
1,The Super Mario Bros. Movie,"$1,043,256,449","$498,003,545",52.3%,"$545,252,904"
2,Ant-Man and the Wasp: Quantumania,"$474,572,622","$212,976,638",55.1%,"$261,595,984"
3,John Wick: Chapter 4,"$403,410,942","$177,410,942",56%,"$226,000,000"
4,Creed III,"$273,748,519","$156,148,519",43%,"$117,600,000"
5,Dungeons & Dragons: Honor Among Thieves,"$195,262,596","$89,262,596",54.3%,"$106,000,000"
6,Scream VI,"$168,955,152","$108,155,152",36%,"$60,800,000"
7,Shazam! Fury of the Gods,"$133,437,105","$57,637,105",56.8%,"$75,800,000"
8,Pathaan,"$128,780,000","$17,487,476",73.8%,"$95,092,334"
9,Evil Dead Rise,"$91,283,822","$47,583,822",47.9%,"$43,700,000"
10,Chebi: My Fluffy Friend,"$88,211,971",-,100%,"$88,211,971"
11,Cocaine Bear,"$87,170,346","$64,388,510",26.1%,"$22,781,836"
12,Air,"$80,240,880","$48,640,880",39.4%,"$31,600,000"
13,Titanic 25 Year Anniversary,"$69,991,606","$15,033,795",78.5%,"$54,957,811"
14,Magic Mike's Last Dance,"$57,030,156","$26,005,156",54.4%,"$31,025,000"
15,Detective Conan: Black Iron Submarine,"$56,679,309",-,100%,"$56,679,309"
16,65,"$56,182,812","$31,982,812",43.1%,"$24,200,000"
17,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,"$56,119,404","$10,117,806",82%,"$46,001,598"
18,The Pope's Exorcist,"$55,602,194","$18,502,194",66.7%,"$37,100,000"
19,Knock at the Cabin,"$54,757,255","$35,397,980",35.4%,"$19,359,275"
20,Mummies,"$52,795,970","$4,275,970",91.9%,"$48,520,000"
21,Jesus Revolution,"$52,245,256","$52,102,987",0.3%,"$142,269"
22,Plane,"$52,228,094","$32,111,181",38.5%,"$20,116,913"
23,Missing,"$45,102,025","$32,502,025",27.9%,"$12,600,000"
24,Asterix & Obelix: The Middle Kingdom,"$44,641,002",-,100%,"$44,641,002"
25,80 for Brady,"$40,105,063","$39,330,588",1.9%,"$774,475"
26,Operation Fortune: Ruse de guerre,"$37,846,713","$6,496,125",82.8%,"$31,350,588"
27,Ride On,"$33,699,462","$64,759",99.8%,"$33,634,703"
28,Alibi.com 2,"$33,664,210",-,100%,"$33,664,210"
29,Doraemon the Movie: Nobita's Sky Utopia,"$30,426,518",-,100%,"$30,426,518"
